OBJECTID,PLAN_NO,BHC_TYPE,BHC_VALUE,SHAPE_Leng,Shape__Area,Shape__Length
38,S/FLN/2,BHCB,110,346.955924935,8292.77734375,376.40977403992
39,S/FLN/2,BHCB,110,400.465988683,11966.228515625,434.343723593718
40,S/FLN/2,BHCS,3,448.069632024,7105.36328125,486.161075393407
41,S/FLN/2,BHCB,75,412.69169867,11892.193359375,447.499534085493
42,S/FLN/2,BHCB,60,333.332143879,7467.9375,361.768561109612
43,S/FLN/2,BHCS,8,493.348031216,14536.330078125,535.327588422795
44,S/FLN/2,BHCS,1,260.156038936,4634.634765625,282.200499415788
45,S/FLN/2,BHCB,30,685.704350457,26063.16796875,744.386837454869
46,S/FLN/2,BHCB,115,327.897388584,7604.47265625,355.93735273577
47,S/FLN/2,BHCB,115,312.360036659,7035.845703125,339.02438470974
48,S/FLN/2,BHCB,75,585.259468105,20094.935546875,634.32484482957
49,S/FLN/2,BHCB,80,388.260852064,10328.990234375,421.293913172396
50,S/FLN/2,BHCB,55,483.900148199,14637.10546875,524.74702808333
51,S/FLN/2,BHCB,30,1369.45983075,42102.62890625,1485.92269833133
52,S/FLN/2,BHCS,7,551.121254633,20059.373046875,597.32144873966
53,S/FLN/2,BHCS,7,490.573064291,16588.974609375,531.888242769728
54,S/FLN/2,NBA,NBA,227.222043534,2322.880859375,246.581429658603
55,S/FLN/2,NBA,NBA,204.093373126,2266.037109375,221.573656033269
56,S/FLN/2,NBA,NBA,402.99654991,4566.15625,437.88129419738
57,S/FLN/2,NBA,NBA,127.730295836,607.048828125,138.306591110892
58,S/FLN/2,NBA,NBA,148.774858128,1158.22265625,161.217794065946
