OBJECTID,PLAN_NO,ZONE_LABEL,DESC_ENG,DESC_CHT,SPUSE_ENG,SPUSE_CHT,SHAPE_Leng,Shape__Area,Shape__Area_2,Shape__Length_2
2494,S/H8/26,O,Open Space,休憩用地, , ,1964.6135277,40695.65625,40695.65625,2128.41684961468
2495,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,280.244082021,2932.857421875,2932.857421875,303.053615126625
2496,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,67.204036998,323.513671875,323.513671875,72.8353194823609
2497,S/H8/26,R(A)4,Residential (Group A) 4,住宅(甲類)4, , ,129.273150909,1202.9765625,1202.9765625,140.097076549004
2498,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,181.826084508,1890.8046875,1890.8046875,196.833845744942
2499,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,372.065818303,6006.033203125,6006.033203125,403.282594006118
2500,S/H8/26,OU,Other Specified Uses,其他指定用途,PIER,碼頭,310.57627604,2932.6875,2932.6875,336.71734758516
2501,S/H8/26,O,Open Space,休憩用地, , ,289.837389475,1912.26171875,1912.26171875,313.629488770234
2502,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,1660.62910111,36656.134765625,36656.134765625,1798.01126718255
2503,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,245.876837008,4052.4140625,4052.4140625,266.334370430135
2504,S/H8/26,R(C),Residential (Group C),住宅(丙類), , ,419.726680003,9415.150390625,9415.150390625,454.505679550911
2505,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,487.798642881,10463.423828125,10463.423828125,527.565232566409
2506,S/H8/26,R(B)3,Residential (Group B) 3,住宅(乙類)3, , ,387.92440573,7411.37109375,7411.37109375,419.78711223213
2507,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,285.789038323,5682.0703125,5682.0703125,309.425538742188
2508,S/H8/26,R(A)5,Residential (Group A) 5,住宅(甲類)5, , ,180.207379359,2367.421875,2367.421875,195.263874996147
2509,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,156.700063111,1750.78515625,1750.78515625,169.823316525569
2510,S/H8/26,R(B),Residential (Group B),住宅(乙類), , ,639.381869289,18843.6171875,18843.6171875,691.893009441983
2511,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,219.675955892,3514.025390625,3514.025390625,238.220240173374
2512,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,296.238386845,5295.806640625,5295.806640625,320.521288322704
2513,S/H8/26,GB,Green Belt,綠化地帶, , ,242.32279108,2268.849609375,2268.849609375,262.436916634781
2514,S/H8/26,R(E),Residential (Group E),住宅(戊類), , ,152.13080466,1651.03515625,1651.03515625,164.885721234498
2515,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,185.320089572,2059.822265625,2059.822265625,200.542807735532
2516,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,533.268860905,14975.08984375,14975.08984375,576.864211366207
2517,S/H8/26,O,Open Space,休憩用地, , ,143.175614362,1398.08984375,1398.08984375,155.124365084493
2518,S/H8/26,GB,Green Belt,綠化地帶, , ,2302.95310227,60357.3515625,60357.3515625,2496.90521253577
2519,S/H8/26,O,Open Space,休憩用地, , ,29.9580890962,41.75390625,41.75390625,32.4233652726977
2520,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,713.413957276,13310.01953125,13310.01953125,773.878712503682
2521,S/H8/26,O,Open Space,休憩用地, , ,122.742817518,786.333984375,786.333984375,132.916324781257
2522,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,893.476813994,29422.94921875,29422.94921875,968.385328561618
2523,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,317.094198274,5288.677734375,5288.677734375,343.055553134598
2524,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,425.657496518,8683.0390625,8683.0390625,461.806359783666
2525,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,130.025651389,1212.31640625,1212.31640625,140.906625014776
2526,S/H8/26,C,Commercial,商業, , ,165.168783284,1434.89453125,1434.89453125,179.101535655771
2527,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,390.90830778,6465.1953125,6465.1953125,423.706798454266
2528,S/H8/26,R(A),Residential (Group A),住宅(甲類), , ,279.735693553,5163.478515625,5163.478515625,302.751859946233
2529,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,341.790106255,6188.21875,6188.21875,369.778621409354
2530,S/H8/26,R(B),Residential (Group B),住宅(乙類), , ,1175.54801309,38062.166015625,38062.166015625,1272.96950306641
2531,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,182.722043307,2447.671875,2447.671875,197.940916974937
2532,S/H8/26,G/IC,"Government, Institution or Community",政府、機構或社區, , ,110.008623326,742.73046875,742.73046875,119.108180959607
2533,S/H8/26,C/R,Commercial / Residential,商業 / 住宅, , ,336.011433203,7654.421875,7654.421875,363.791678394162
2534,S/H8/26,C,Commercial,商業, , ,172.656920777,2178.689453125,2178.689453125,187.074408589491
